Team,Player,Event,Type,X,Y,X2,Y2
POR,R. Guerreiro,Pass,Goal_1Game,19,97,18,83
POR,J. Felix,Dribble,Goal_1Game,17,81,16,75
POR,J. Felix,Pass,Goal_1Game,16,74,9,66
POR,G.Ramos,Shot,Goal_1,8,64,1,52
SUI,X. Shaqiri,Shot,Chance,71,59,98,57
POR,Pepe,Shot,Goal_2,6,47,1,50
POR,G.Ramos,Shot,Chance,10,60,1,47
POR,D. Dalot,Dribble,Goal_3Game,15,20,9,20
POR,D. Dalot,Pass,Goal_3Game,9,20,5,41
POR,G.Ramos,Shot,Goal_3,5,41,1,43
POR,R. Dias,Pass,Goal_4Game,80,88,64,96
POR,J. Felix,Pass,Goal_4Game,64,95,51,89
POR,Otavio,Pass,Goal_4Game,51,88,48,83
POR,Otavio,Pass,Goal_4Game,45,81,28,70
POR,B.Silva,Pass,Goal_4Game,25,67,12,70
POR,R. Guerreiro,Shot,Goal_4,8,66,1,47
SUI,M. Akanji,Shot,Goal_1,96,34,99,45
POR,B.Silva,Pass,Goal_5Game,36,41,23,45
POR,J. Felix,Pass,Goal_5Game,23,44,12,37
POR,G.Ramos,Shot,Goal_5,7,40,1,47
POR,R. Guerreiro,Pass,Goal_6Game,34,91,12,76
POR,R.Leao,Shot,Goal_6,12,76,1,46
