player,team,goals,assists,team_img
Kylian Mbappe,France,8,2,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/France_national_football_team_seal.svg/1200px-France_national_football_team_seal.svg.png
Lionel Messi,Argentina,7,3,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Argentina_national_football_team_logo.svg/1200px-Argentina_national_football_team_logo.svg.png
Julian Alvarez,Argentina,4,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Argentina_national_football_team_logo.svg/1200px-Argentina_national_football_team_logo.svg.png
Olivier Giroud,France,4,0,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/France_national_football_team_seal.svg/1200px-France_national_football_team_seal.svg.png
Alvaro Morata,Spain,3,1,https://upload.wikimedia.org/wikipedia/en/3/31/Spain_National_Football_Team_badge.png
Bukayo Saka,England,3,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/England_national_football_team_crest.svg/1200px-England_national_football_team_crest.svg.png
Cody Gakpo,Netherlands,3,0,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Netherlands_national_football_team_logo.svg/800px-Netherlands_national_football_team_logo.svg.png
Enner Valencia,Ecuador,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/FEF_logo.svg/1200px-FEF_logo.svg.png
Goncalo Ramos,Portugal,3,1,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Portuguese_Football_Federation.svg/1200px-Portuguese_Football_Federation.svg.png
Marcus Rashford,England,3,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/England_national_football_team_crest.svg/1200px-England_national_football_team_crest.svg.png
Richalson,Brazil,3,0,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Brazilian_Football_Confederation_logo.svg/800px-Brazilian_Football_Confederation_logo.svg.png
Antoine Griezmann,France,0,3,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/France_national_football_team_seal.svg/1200px-France_national_football_team_seal.svg.png
Bruno Fernandes,Portugal,2,3,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Portuguese_Football_Federation.svg/1200px-Portuguese_Football_Federation.svg.png
Harry Kane,England,2,3,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/England_national_football_team_crest.svg/1200px-England_national_football_team_crest.svg.png
Andrija Zivkovi,Serbia,0,2,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Fudbalski_savez_Srbije.svg/1200px-Fudbalski_savez_Srbije.svg.png
Christian Pulisic,USA,1,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/United_States_women%27s_national_soccer_team_logo.svg/603px-United_States_women%27s_national_soccer_team_logo.svg.png
Davy Klaassen,Netherlands,1,2,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Netherlands_national_football_team_logo.svg/800px-Netherlands_national_football_team_logo.svg.png
Denzel Dumfries,Netherlands,1,2,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Netherlands_national_football_team_logo.svg/800px-Netherlands_national_football_team_logo.svg.png
Raphael Guerreiro,Portugal,1,2,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Portuguese_Football_Federation.svg/1200px-Portuguese_Football_Federation.svg.png
Perisic,Croatia,1,3,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Croatian_Football_Federation_logo.svg/800px-Croatian_Football_Federation_logo.svg.png
